up,down,3700,20000,,,,,,
,edge,0,1,2,3,4,5,6,7
kind,level,313,482,584,755,1094,2113,3813,4096
keep,0,1,1,1,1,1,1,1,1
keep,1,7,3,3,3,3,3,3,7
keep,2,3,1,1,1,1,1,1,3
keep,3,1,1,1,1,1,1,1,1
keep,4,1,1,1,1,1,1,1,1
keep,5,1,1,1,1,1,1,1,1
keep,6,1,1,1,1,1,1,1,1
keep,7,1,1,1,1,1,1,1,1
discard,0,0,0,0,0,0,0,0,0
discard,1,1,1,1,1,1,5,1,1
discard,2,1,1,1,1,1,3,1,1
discard,3,1,3,3,3,3,7,3,1
discard,4,3,7,7,7,7,15,7,3
discard,5,7,15,15,15,15,31,15,7
discard,6,15,31,31,31,31,63,31,15
discard,7,31,63,63,63,63,127,63,31
